date,artist,title,YT link
2023-10-27,Pidżama Porno ,Egzystencjalny paw,https://youtu.be/-KZTvTDETHs
2023-10-28,"Dedis ft. Nizioł, TPS, Vin Vinci",Przyjaciele,https://youtu.be/Vxf2TYSXCyY
2023-10-29,Akurat,Fantasmagorie,https://youtu.be/ym5AQ5DfuU4
2023-10-30,Funky Filon & Kaja Paschalska,Mała chinka,https://youtu.be/6G2OhwIUaM0
2023-10-31,Ich Troje,Walizka,https://youtu.be/zXcWN4kstB0
2023-11-01,Eldo,Granice,https://youtu.be/gcXcvijDgtc
2023-11-02,Budka Suflera,Bal wszystkich świętych,https://youtu.be/kE87oI5rdew
2023-11-03,Sokół & Marysia & Robert M,Sens życia,https://youtu.be/7oUFuiEleTs
2023-11-04,BOVSKA,Kaktus,https://youtu.be/w6ZPQ_gOdQE
2023-11-05,QBIK,4 pory roku,https://youtu.be/9y8sZ6bZtaA
2023-11-06,Power of Trinity,Ręce,https://youtu.be/5rZIbqXA9hw
2023-11-07,Trzeci wymiar,Murmurando,https://youtu.be/xXtTuCpBv8g
2023-11-08,Kayah & Goran Bregovic,Prawy do lewego,https://youtu.be/cKF2GjRAUtE
2023-11-09,Grupa Operacyjna,Dni naszego życia,https://youtu.be/Dd07nOVCR3o
2023-11-10,Edyta Bartosiewicz,Jenny,https://youtu.be/-jaSOrMCbu4
2023-11-11,Bujko & Wasiak,Pierdole Takie Rządy,https://youtu.be/vbqSAPXJwbw
2023-11-12,Formacja Nieżywych Schabuff,Lato,https://youtu.be/eaHbjnXItXc
2023-11-13,Pih,Śmierć I podatki,https://youtu.be/X7s509jcVLU
2023-11-14,Iza Królak,Jak osłonić serce,https://youtu.be/Ax67ev2Fexc
2023-11-15,Flint,Nie zatrzymasz mnie,https://youtu.be/ligujanRTZ4
2023-11-16,Poparzeni Kawą Trzy,Trzeba się napić,https://youtu.be/PMfQEfhr4FA
2023-11-17,Koni,Hipokryzja,https://youtu.be/OZRdkjz2Z5g
2023-11-18,Roni,Ona by tak chciała,https://youtu.be/LCcIx6bCcr8
2023-11-19,Bajm,Modlitwa O Zloty Deszcz,https://youtu.be/kSGorIC68JI
2023-11-20,"Skorup, Rufijok, Bu, Metrowy",Kosmos,https://youtu.be/FDu7nekRG5c
2023-11-21,Farben Lehre,Złodzieje,https://youtu.be/djosUTpdIGE
2023-11-22,Abradab,Rapowe ziarno,https://youtu.be/OApt5kx1JUU
2023-11-23,Ewelina Lisowska,Nieodporny rozum,https://youtu.be/MEdxTgvVZFk
2023-11-24,QBIK,Taka dama,https://youtu.be/uuaf_FQepE0
2023-11-25,Irek Dudek,Au sza la la la,https://youtu.be/wzDr1F1Y4bk
2023-11-26,Rahim & Pokahontaz,Pompuj pompuj,https://youtu.be/nLEGbZI3Grc
2023-11-27,Plagiat199,Przyjaźń,https://youtu.be/Lp2rzpocrv0
2023-11-28,Liber & Doniu,Skarby,https://youtu.be/TgjTKbLfW2E
2023-11-29,Zabili Mi Żółwia,Jaracz,https://youtu.be/mfr_kg7pVyo
2023-11-30,Jeden Osiem L,Powodzenia,https://youtu.be/eHjlcoeGdrs
2023-12-01,Hey,Muka,https://youtu.be/pfBYE6871Wo
2023-12-02,Sweet Noise & Slums Attack,Jeden taki dzień,https://youtu.be/gvQszSgLEIg
2023-12-03,Coma,Deszczowa piosenka,https://youtu.be/8fxoBlCSRL8
2023-12-04,Sidney Polak,Chomiczówka,https://youtu.be/9kyIhvt_ZU0
2023-12-05,Pajujo,Tramwajowy spektakl,https://youtu.be/7p0Besk8Nno
2023-12-06,Zeus,Strumień,https://youtu.be/vZNyjuNLhIk
2023-12-07,Raggafaya,Tu Jestem!,https://youtu.be/K6JujXyMn-s
2023-12-08,Yugopolis & Maciej Maleńczuk,Ostatnia nocka,https://youtu.be/z-2mO3KTVHg
2023-12-09,Polska Wersja,Warto mówić kocham,https://youtu.be/uU2qvMQc3is
2023-12-10,Agnieszka Chylińska,Winna,https://youtu.be/n5vmk7FBbiI
2023-12-11,Sobel,Impreza,https://youtu.be/Sug433bP-mw
2023-12-12,Sanah,Kamień,https://youtu.be/uLKuf0aML6M
2023-12-13,QBIK,Hajs,https://youtu.be/wytcdOt86jg
2023-12-14,Łydka Grubasa,Chiny,https://youtu.be/lFSkSnu9o0E
2023-12-15,Vienio & Mr. Borman,Samotny człowiek,https://youtu.be/g8KNMaiKSV8
2023-12-16,Enej,Żyj,https://youtu.be/W8ECL4bmubo
2023-12-17,Trzeci wymiar,Zapomnij o tym,https://youtu.be/7EygJFmEGBQ
2023-12-18,Akurat,Wiej Ska,https://youtu.be/dsncl2QlZfw
2023-12-19,52 Dębiec & Ascetoholix,To my polacy,https://youtu.be/XcQdJyo1B-8
2023-12-20,Anita Lipnicka,I Wszystko Się Może Zdarzyć,https://youtu.be/3YxOZQqNYY8
2023-12-21,Power of Trinity,Babilon,https://youtu.be/BDthffpgI74
2023-12-22,Pezet & Kayah,Nisko jest niebo,https://youtu.be/kj3D5V0lPrM
2023-12-23,Lipali,Ponoć,https://youtu.be/idWP5EDz_IY
2023-12-24,Dwie twarze,Fuck,https://youtu.be/BFr3GE0FWqo
2023-12-25,Carrion & Tytus Wojnowicz,Nie bez wiary,https://youtu.be/7BIM9MOq2rk
2023-12-26,Dedis & Kobik,Wyszczekany,https://youtu.be/ZbVChiNObIw
2023-12-27,Farben Lehre,Helikoptery 90',https://youtu.be/v1wdKHbrNOY
2023-12-28,Boomer,Prawda,https://youtu.be/Pvuc1M0ous8
2023-12-29,Varius Manx,Zabij mnie,https://youtu.be/AAXweRAUfPs
2023-12-30,Słoń & Mixer,Gabinet luster,https://youtu.be/cVWIgVl0BD8
2023-12-31,Budka Suflera,Takie tango,https://youtu.be/_GZB_nP4uWE
2024-01-01,GrubSon,Na szczycie,https://youtu.be/6BnT_wkuMBA
2024-01-02,Wilki,Baśka,https://youtu.be/SCIvOsw0O-M
2024-01-03,Slums Attack,Kurewskie życie,https://youtu.be/KP5T7QSQWdY
2024-01-04,Robert Kasprzycki,Mam wszystko jestem niczym,https://youtu.be/Im2ou1qvYvU
2024-01-05,Paktofonika,Priorytety,https://youtu.be/qOMCjDM8cro
2024-01-06,Tomasz Żółtko,Kochaj mnie i dotykaj,https://youtu.be/CL5BgdKIISI
2024-01-07,Zero,Bania u Cygana,https://youtu.be/xLj5xaahdF8
2024-01-08,Jamal,Policeman,https://youtu.be/j8F1ar8KY5I
2024-01-09,52 Dębiec & Owal Emcedwa,Przepraszam,https://youtu.be/hYqUCEmFyYc
2024-01-10,Łąki Łan,Łan Pała,https://youtu.be/buVazED8pEU
2024-01-11,Liroy,Scyzoryk,https://youtu.be/qEUoWPYPxH8
2024-01-12,Reni Jusis,Zakręcona,https://youtu.be/G6m2EyJnXhs
2024-01-13,Trzeci wymiar,Dla mnie masz stajla,https://youtu.be/R8NyWIREQRs
2024-01-14,Iza Królak,Zobaczę Cię wszędzie,https://youtu.be/lh1xjNJUzsc
2024-01-15,Fenomen,Szansa,https://youtu.be/71UKJDRgo8g
2024-01-16,Elektryczne gitary,Kiler,https://youtu.be/Ylr75IqtmV0
2024-01-17,W.E.N.A.,Imperium,https://youtu.be/X-Mr8LbWNRA
2024-01-18,Czarno-Czarni,Nogi,https://youtu.be/gruPiZJHdVg
2024-01-19,Liber & Doniu,Weekend,https://youtu.be/DedsAwYQZz4
2024-01-20,Pudelsi,Wolność słowa,https://youtu.be/opmHOsk3TdU
2024-01-21,Zipera,Bez ciśnień,https://youtu.be/nxLIM93ZJrE
2024-01-22,Łydka Grubasa,Moja fujara,https://youtu.be/Jjls1OCc-fY
2024-01-23,donGURALesko,El Polako,https://youtu.be/M2ApeEx_9e4
2024-01-24,Maanam,Szare miraże,https://youtu.be/2gONxaO72Qo
2024-01-25,Łona & Webber,To nic nie znaczy,https://youtu.be/_6HCOgTc5r4
2024-01-26,Enej,Kortowiada,https://youtu.be/VPZfKH75Qrc
2024-01-27,Trzeci wymiar,Patrz Przed Siebie,https://youtu.be/buEyfjGnf7Q
2024-01-28,Poparzeni Kawą Trzy,Jarowsław Ka,https://youtu.be/hlJjkwhWL44
